Module                  Size  Used by
sg                     23717  0
pdc_adma                5891  0
sata_inic162x           7120  0
sata_mv                24780  0
ata_piix               25755  0
ahci                   26978  0
libahci                24185  1 ahci
sata_qstor              5758  0
sata_vsc                4619  0
sata_uli                3519  0
sata_sis                4133  0
sata_sx4                8528  0
sata_nv                19873  0
sata_via                8779  0
sata_svw                4936  0
sata_sil24             10930  0
sata_sil                8093  0
sata_promise           10478  0
pata_sl82c105           4285  0
pata_via                9454  0
pata_jmicron            2919  0
pata_marvell            3468  0
pata_sis               12355  1 sata_sis
pata_netcell            2776  0
pata_pdc202xx_old       5091  0
pata_triflex            3786  0
pata_atiixp             5223  0
pata_amd               11383  0
pata_ali               10376  0
pata_it8213             4154  0
pata_pcmcia            10313  0
pcmcia                 33206  1 pata_pcmcia
pcmcia_core            14891  1 pcmcia
pata_ns87415            3768  0
pata_ns87410            3446  0
pata_serverworks        6296  0
pata_artop              5653  0
pata_it821x             9591  0
pata_hpt3x2n            6095  0
pata_hpt3x3             3697  0
pata_hpt37x            12553  0
pata_hpt366             5583  0
pata_cmd64x             7638  0
pata_efar               4315  0
pata_rz1000             3302  0
pata_sil680             5398  0
pata_radisys            3586  0
pata_pdc2027x           7130  0
pata_mpiix              3459  0
